text,mood,screen_hours,burnout_risk
failing exams. Need help.,High,11.45206273613389,91
future andhera hai. Koi rasta nahi.,High,11.946702718295686,80
sab kharab ho raha hai. Koi rasta nahi.,High,8.825556540728869,80
mental fatigue and future andhera hai.,High,9.72500658392686,89
exhausted and sab kharab ho raha hai.,High,9.034526445543383,85
too heavy and bardasht nahi ho raha.,High,8.523162056815881,90
mental fatigue. Feeling worthless.,High,9.48418619612714,99
extreme pressure and bohot bhojh hai.,High,8.512982313182944,99
failing exams. Feeling worthless.,High,11.143306007800344,88
burned out. Feeling worthless.,High,9.811267874023521,98
preshani bohot barh gayi. Koi rasta nahi.,High,10.4561983902994,100
failing exams. So tired.,High,10.111951005513516,87
extreme pressure and bohot mayoos hoon.,High,9.879171211896903,91
hopeless. Need help.,High,11.95960082627664,80
extreme pressure and thak gaya hoon.,High,9.557010923935376,84
bohot mayoos hoon. Allah help me.,High,11.697138554538228,97
burned out. So tired.,High,10.428704132647274,83
extreme pressure and preshani bohot barh gayi.,High,10.511643646332308,86
bardasht nahi ho raha. Koi rasta nahi.,High,8.206900010764118,80
crushed and future andhera hai.,High,10.594296433911815,81
bohot bhojh hai. Koi rasta nahi.,High,11.935013038326078,98
bohot mayoos hoon. Bohat mushkil hai.,High,11.290373647364891,81
exhausted. Need help.,High,8.370976443069802,95
too heavy and bohot mayoos hoon.,High,11.13508020808937,95
extreme pressure and bohot bhojh hai.,High,11.151224943428838,96
hopeless. So tired.,High,10.346004472204905,82
burned out and sab kharab ho raha hai.,High,8.758953945782023,88
exhausted. Feeling worthless.,High,9.451525810681726,87
bohot mayoos hoon. Koi rasta nahi.,High,10.520184836623075,80
too heavy. So tired.,High,8.63416234841669,84
too heavy. Feeling worthless.,High,8.659867461833466,84
failing exams. So tired.,High,11.761101173646399,84
crushed and tension bohot hai.,High,10.989899001813505,96
burned out. Need help.,High,10.388741546984798,92
bohot mayoos hoon. Allah help me.,High,9.987190566078622,91
depressed and bohot bhojh hai.,High,11.303528756331698,90
exhausted and sab kharab ho raha hai.,High,8.636635009029007,94
preshani bohot barh gayi. Koi rasta nahi.,High,8.35844309515599,85
too heavy. Feeling worthless.,High,8.883008135114975,84
hopeless and tension bohot hai.,High,8.497469694940802,100
too heavy. So tired.,High,8.949945638529053,80
burned out. Feeling worthless.,High,9.360617776296213,94
preshani bohot barh gayi. Bohat mushkil hai.,High,9.739644108398672,95
mental fatigue. Need help.,High,11.499573870089522,88
depressed. Feeling worthless.,High,8.661704553021972,97
bohot mayoos hoon. Allah help me.,High,11.80111361490394,94
too heavy and tension bohot hai.,High,10.999410797818818,88
hopeless. Feeling worthless.,High,9.663752073472258,80
failing exams and bohot mayoos hoon.,High,8.947459544756741,84
crushed and bohot mayoos hoon.,High,8.440390354657026,93
bohot mayoos hoon. Allah help me.,High,8.916374088385531,81
failing exams. Need help.,High,8.399469548061433,99
failing exams and sab kharab ho raha hai.,High,9.893962237213707,88
tension bohot hai. Bohat mushkil hai.,High,10.089624938701606,84
failing exams and tension bohot hai.,High,9.904731467139108,97
mental fatigue. Feeling worthless.,High,8.565516988886452,87
exhausted and bardasht nahi ho raha.,High,11.287659807524722,91
mental fatigue and bohot mayoos hoon.,High,9.600730709524036,92
failing exams and bardasht nahi ho raha.,High,9.214041785322902,85
tension bohot hai. Koi rasta nahi.,High,8.880833046541907,93
failing exams and sab kharab ho raha hai.,High,10.946663569611658,99
extreme pressure and bohot mayoos hoon.,High,10.947993686315533,82
future andhera hai. Koi rasta nahi.,High,11.819511749612001,92
mental fatigue and bohot bhojh hai.,High,9.668322555943412,83
depressed. Feeling worthless.,High,9.030465800728274,97
depressed. Feeling worthless.,High,10.645103415114985,99
tension bohot hai. Allah help me.,High,9.406567362667287,81
extreme pressure. Feeling worthless.,High,8.682312391864045,81
crushed and sab kharab ho raha hai.,High,8.966083036506696,86
dil nahi lag raha. Allah help me.,High,11.013157196930004,93
hopeless. Need help.,High,10.395769683555937,83
tension bohot hai. Bohat mushkil hai.,High,9.990302158158656,88
exhausted. So tired.,High,9.95057524260597,92
extreme pressure and tension bohot hai.,High,9.194512675684294,89
bohot mayoos hoon. Koi rasta nahi.,High,10.545184466033298,93
failing exams. Need help.,High,11.55096571265767,83
sab kharab ho raha hai. Koi rasta nahi.,High,11.581383111816475,91
extreme pressure. So tired.,High,8.128605161699417,84
tension bohot hai. Bohat mushkil hai.,High,8.463311887895639,81
depressed and preshani bohot barh gayi.,High,8.560010830329713,98
preshani bohot barh gayi. Allah help me.,High,10.832902744244079,95
failing exams and thak gaya hoon.,High,9.287831854885155,83
dil nahi lag raha. Koi rasta nahi.,High,8.258229985039616,81
too heavy. Feeling worthless.,High,10.984504411252463,85
extreme pressure and bohot bhojh hai.,High,10.662642522590893,95
dil nahi lag raha. Allah help me.,High,9.385847126500742,95
bohot bhojh hai. Bohat mushkil hai.,High,8.629713343351323,83
too heavy. So tired.,High,8.056937309395375,84
extreme pressure. Need help.,High,10.391968838469085,85
bohot bhojh hai. Allah help me.,High,11.012100331612544,83
extreme pressure. Feeling worthless.,High,8.767846437028602,100
failing exams. Need help.,High,8.074689767671227,89
burned out and tension bohot hai.,High,9.187220178792725,83
bohot mayoos hoon. Koi rasta nahi.,High,10.197688057669055,95
crushed. Feeling worthless.,High,11.849272669937287,100
depressed. Feeling worthless.,High,8.095349324396318,87
extreme pressure and thak gaya hoon.,High,9.059926866929212,93
crushed. Need help.,High,8.333112560602371,89
exhausted. So tired.,High,11.868477010156663,94
bardasht nahi ho raha. Bohat mushkil hai.,High,11.144151676236465,94
too heavy. Feeling worthless.,High,11.798684604255506,92
mental fatigue. Need help.,High,10.442714286765268,99
future andhera hai. Allah help me.,High,8.808370495123466,97
sab kharab ho raha hai. Koi rasta nahi.,High,11.589194306067375,91
bohot mayoos hoon. Bohat mushkil hai.,High,10.850297133430443,98
too heavy. Need help.,High,9.382474344798787,83
extreme pressure. So tired.,High,8.451484303302117,84
extreme pressure. Need help.,High,10.210664374446623,95
bardasht nahi ho raha. Koi rasta nahi.,High,8.499896830187136,94
burned out and thak gaya hoon.,High,9.097889126616929,100
hopeless and sab kharab ho raha hai.,High,9.175952735500186,81
dil nahi lag raha. Allah help me.,High,11.049855585880014,84
bohot bhojh hai. Allah help me.,High,8.161528739349727,89
thak gaya hoon. Bohat mushkil hai.,High,10.293492745187773,89
exhausted and bohot bhojh hai.,High,11.17148802217007,80
extreme pressure. So tired.,High,9.35841138309275,83
exhausted and future andhera hai.,High,11.964825994991426,93
burned out. Need help.,High,9.775480320783346,81
mental fatigue and sab kharab ho raha hai.,High,11.650349734705571,92
thak gaya hoon. Bohat mushkil hai.,High,11.901510019734037,93
mental fatigue and preshani bohot barh gayi.,High,9.006844935472566,87
preshani bohot barh gayi. Allah help me.,High,10.602550241005625,94
thak gaya hoon. Koi rasta nahi.,High,8.68780289510887,86
burned out and preshani bohot barh gayi.,High,8.649062305484412,81
bohot bhojh hai. Allah help me.,High,11.165726722191069,83
tension bohot hai. Koi rasta nahi.,High,8.866975442813755,97
too heavy and tension bohot hai.,High,10.776437168510416,99
burned out. Feeling worthless.,High,11.618333406621966,92
tension bohot hai. Koi rasta nahi.,High,9.506916683179035,89
thak gaya hoon. Allah help me.,High,8.446767081744106,93
burned out and sab kharab ho raha hai.,High,8.456828724247611,96
exhausted and bardasht nahi ho raha.,High,10.298235621151303,99
sab kharab ho raha hai. Koi rasta nahi.,High,10.08498170469469,88
tension bohot hai. Koi rasta nahi.,High,10.284592497143064,87
burned out and thak gaya hoon.,High,9.414296534655978,99
hopeless. So tired.,High,8.697873714703764,97
failing exams and bohot bhojh hai.,High,9.826848512032242,93
mental fatigue and dil nahi lag raha.,High,8.148867193152148,80
bohot bhojh hai. Koi rasta nahi.,High,11.743834831163475,99
too heavy and thak gaya hoon.,High,10.523337003712331,94
too heavy. So tired.,High,9.0675656981723,80
crushed. So tired.,High,10.293799431507693,82
sab kharab ho raha hai. Koi rasta nahi.,High,9.114100870436594,88
exhausted. So tired.,High,11.820219909391195,99
bohot bhojh hai. Bohat mushkil hai.,High,10.004435483950273,90
exhausted. So tired.,High,10.419975525375616,87
failing exams and preshani bohot barh gayi.,High,9.88854041659583,99
failing exams. So tired.,High,8.324902141365452,85
depressed. Feeling worthless.,High,9.751348374603513,82
extreme pressure and bardasht nahi ho raha.,High,11.334161983535354,87
failing exams. Need help.,High,10.655072141365842,82
depressed. So tired.,High,9.974452116918602,82
dil nahi lag raha. Bohat mushkil hai.,High,10.68649574014343,85
failing exams and dil nahi lag raha.,High,9.929993722259134,87
dil nahi lag raha. Bohat mushkil hai.,High,11.306397882775629,88
bohot mayoos hoon. Bohat mushkil hai.,High,11.703924208286324,84
tension bohot hai. Allah help me.,High,9.824258725680723,93
bohot mayoos hoon. Bohat mushkil hai.,High,11.448102937499804,86
mental fatigue. So tired.,High,9.340303770634508,82
depressed. Feeling worthless.,High,11.438683535028405,88
hopeless. Need help.,High,10.898323638635352,83
dil nahi lag raha. Koi rasta nahi.,High,9.646350583741253,91
thak gaya hoon. Bohat mushkil hai.,High,10.863064934652273,85
preshani bohot barh gayi. Bohat mushkil hai.,High,9.306733172056203,95
tension bohot hai. Koi rasta nahi.,High,8.7341345599755,80
crushed and bohot mayoos hoon.,High,10.207135655337826,80
crushed and preshani bohot barh gayi.,High,11.023938920872608,95
failing exams. Feeling worthless.,High,10.13099739751144,94
sab kharab ho raha hai. Koi rasta nahi.,High,10.760048405246227,83
tension bohot hai. Koi rasta nahi.,High,8.550492870478353,91
dil nahi lag raha. Koi rasta nahi.,High,8.067254888909101,99
failing exams and tension bohot hai.,High,9.710732382049791,81
burned out. So tired.,High,11.245135476046753,96
mental fatigue. Feeling worthless.,High,9.114571377087017,93
exhausted and tension bohot hai.,High,11.501588117331739,88
hopeless. Need help.,High,11.018160621998721,99
failing exams. So tired.,High,9.85803904210972,89
bohot bhojh hai. Bohat mushkil hai.,High,9.713397212529811,94
mental fatigue and dil nahi lag raha.,High,11.863871847400139,86
too heavy and tension bohot hai.,High,8.827669084005649,87
mental fatigue and bohot bhojh hai.,High,11.652390608465861,89
hopeless and sab kharab ho raha hai.,High,8.362623944511249,86
extreme pressure and future andhera hai.,High,9.261612079126781,89
burned out and preshani bohot barh gayi.,High,10.961876005026012,83
failing exams. Need help.,High,8.278546305005245,100
too heavy. Need help.,High,8.862176740703957,95
bardasht nahi ho raha. Koi rasta nahi.,High,10.750342241516869,88
hopeless and tension bohot hai.,High,9.102448174015315,86
hopeless and preshani bohot barh gayi.,High,8.698737379346856,100
bohot bhojh hai. Bohat mushkil hai.,High,8.241183024763657,88
crushed and thak gaya hoon.,High,10.389626290965015,86
bohot bhojh hai. Allah help me.,High,8.210477163264295,83
crushed. Feeling worthless.,High,8.510037188581887,80
dil nahi lag raha. Bohat mushkil hai.,High,9.831547843397392,81
depressed and dil nahi lag raha.,High,9.995908999838443,87
hopeless and thak gaya hoon.,High,10.22313838417925,82
bohot bhojh hai. Bohat mushkil hai.,High,11.696452142750843,83
future andhera hai. Allah help me.,High,10.323730136055927,90
hopeless and sab kharab ho raha hai.,High,11.723010206687203,90
burned out. Need help.,High,9.192087742705692,90
future andhera hai. Allah help me.,High,11.964858464832867,84
too heavy and dil nahi lag raha.,High,10.8312577592278,89
mental fatigue and tension bohot hai.,High,10.171249859254361,86
extreme pressure and future andhera hai.,High,9.607306768075404,82
failing exams and tension bohot hai.,High,11.113168521095105,93
tension bohot hai. Koi rasta nahi.,High,9.748823554804043,99
thak gaya hoon. Koi rasta nahi.,High,9.412084671475233,94
mental fatigue. So tired.,High,11.156958348227501,94
exhausted. Feeling worthless.,High,8.268752409976386,93
hopeless and sab kharab ho raha hai.,High,11.675348230508273,81
burned out and bohot mayoos hoon.,High,11.68054097668219,87
crushed and future andhera hai.,High,11.341924060058865,96
failing exams. So tired.,High,9.858120690051628,97
crushed and future andhera hai.,High,8.356550217413618,89
thak gaya hoon. Bohat mushkil hai.,High,10.82439299708598,92
depressed. Need help.,High,11.01251647492623,91
burned out and dil nahi lag raha.,High,9.367984417956725,80
burned out and future andhera hai.,High,8.73944189844649,90
hopeless and sab kharab ho raha hai.,High,10.448734743334924,83
crushed. Feeling worthless.,High,9.846936078836173,93
tension bohot hai. Bohat mushkil hai.,High,8.548467935004583,81
bohot bhojh hai. Allah help me.,High,9.713196996431295,88
thak gaya hoon. Koi rasta nahi.,High,8.051435591340775,82
bohot bhojh hai. Bohat mushkil hai.,High,11.609845769128652,97
burned out and dil nahi lag raha.,High,9.739715230445201,80
exhausted and bohot mayoos hoon.,High,10.962224342734714,100
depressed and bohot bhojh hai.,High,8.065416702417991,82
burned out. So tired.,High,10.438795955054413,95
burned out and bohot bhojh hai.,High,10.899753457800815,94
exhausted. So tired.,High,8.61023144533882,86
bardasht nahi ho raha. Bohat mushkil hai.,High,11.40964112372951,90
bohot mayoos hoon. Allah help me.,High,8.150970862169043,98
hopeless. So tired.,High,9.385085511842151,96
mental fatigue and bohot bhojh hai.,High,10.103679800454234,84
extreme pressure. Feeling worthless.,High,8.269084409888137,85
depressed and thak gaya hoon.,High,8.420081131584174,92
exhausted. Feeling worthless.,High,9.00428999880491,86
failing exams. Need help.,High,9.108752951391375,90
failing exams and bardasht nahi ho raha.,High,8.751789581029238,92
too heavy. So tired.,High,8.88423726367716,89
tension bohot hai. Bohat mushkil hai.,High,9.9313524534417,86
hopeless and tension bohot hai.,High,10.798264687612406,83
hopeless. So tired.,High,8.502570126708495,88
failing exams. Feeling worthless.,High,10.337119818783975,97
exhausted. Feeling worthless.,High,8.279651782357895,80
too heavy and bardasht nahi ho raha.,High,10.712411490955207,84
burned out. Need help.,High,9.20639245593587,92
tension bohot hai. Koi rasta nahi.,High,10.160245745906106,96
crushed and bohot bhojh hai.,High,10.707248089208715,94
burned out. Need help.,High,8.116312681091616,96
mental fatigue. So tired.,High,9.34707025220224,95
depressed. So tired.,High,11.723830630665308,100
hopeless. Need help.,High,9.255898275997971,89
tension bohot hai. Bohat mushkil hai.,High,11.239621909127594,100
crushed. So tired.,High,9.451091653121303,84
exhausted. Need help.,High,10.275525417297168,87
failing exams and bohot bhojh hai.,High,10.445896363102793,99
burned out. Need help.,High,10.979838594773971,90
crushed and future andhera hai.,High,11.684187733835214,100
failing exams. So tired.,High,11.345146140849408,86
depressed. Feeling worthless.,High,8.962567089827179,95
dil nahi lag raha. Allah help me.,High,11.312460700706225,97
depressed and future andhera hai.,High,11.616469282653684,97
failing exams. Feeling worthless.,High,10.280687011816873,91
sab kharab ho raha hai. Koi rasta nahi.,High,10.776606870160323,93
hopeless. So tired.,High,10.543892346168002,93
bohot mayoos hoon. Bohat mushkil hai.,High,9.866313662364787,82
extreme pressure and bardasht nahi ho raha.,High,11.798670227982935,97
preshani bohot barh gayi. Bohat mushkil hai.,High,8.497456835866029,87
thak gaya hoon. Koi rasta nahi.,High,8.40698871335904,85
thak gaya hoon. Allah help me.,High,10.519352391012875,82
too heavy. Need help.,High,11.165260144053496,100
burned out. Need help.,High,11.196274073161044,83
hopeless and thak gaya hoon.,High,11.339545799873202,92
too heavy and dil nahi lag raha.,High,9.573329635250362,99
failing exams and bardasht nahi ho raha.,High,8.165833499020597,100
too heavy. Feeling worthless.,High,10.930736087657372,94
sab kharab ho raha hai. Allah help me.,High,11.564875667922372,91
too heavy and dil nahi lag raha.,High,11.635035187689144,91
failing exams. Need help.,High,11.494509245246002,100
bohot bhojh hai. Allah help me.,High,11.542265231224407,94
burned out and bohot mayoos hoon.,High,9.482670157660268,90
burned out and future andhera hai.,High,8.670092559839322,98
hopeless and bohot bhojh hai.,High,8.436246510580723,88
bohot bhojh hai. Bohat mushkil hai.,High,11.643996098194727,100
future andhera hai. Allah help me.,High,8.305298842218253,82
crushed. So tired.,High,10.327676612319403,95
hopeless and future andhera hai.,High,10.921225573984982,83
sab kharab ho raha hai. Allah help me.,High,11.781709806241494,80
burned out. So tired.,High,11.12015179239207,100
depressed and tension bohot hai.,High,11.803217855278596,93
exhausted and bardasht nahi ho raha.,High,9.28082541038951,89
failing exams. Need help.,High,9.264104001006027,83
failing exams and tension bohot hai.,High,9.562993745961643,90
depressed and bohot bhojh hai.,High,8.75271623956497,87
extreme pressure. So tired.,High,11.481643960427748,85
extreme pressure. Need help.,High,11.822466004064205,98
bohot mayoos hoon. Koi rasta nahi.,High,10.395608331980878,85
too heavy. Feeling worthless.,High,9.473365056379238,82
dil nahi lag raha. Allah help me.,High,10.374596648435489,97
bohot mayoos hoon. Bohat mushkil hai.,High,10.063359524306485,80
bohot bhojh hai. Allah help me.,High,11.496664041282703,98
too heavy. Need help.,High,9.66511715152439,85
mental fatigue and dil nahi lag raha.,High,8.107404313967294,81
bardasht nahi ho raha. Koi rasta nahi.,High,11.206445517963257,80
mental fatigue. So tired.,High,10.84416637848304,99
sab kharab ho raha hai. Bohat mushkil hai.,High,8.237016587162701,91
thak gaya hoon. Bohat mushkil hai.,High,11.16932700954919,93
depressed. So tired.,High,8.297267794389578,89
crushed and preshani bohot barh gayi.,High,11.504072584829366,80
too heavy and thak gaya hoon.,High,9.52594973487549,92
too heavy. So tired.,High,11.89126192576532,97
mental fatigue. Need help.,High,11.367740264502567,86
bardasht nahi ho raha. Allah help me.,High,9.716740685964686,99
crushed. Need help.,High,11.207108265634357,98
extreme pressure and preshani bohot barh gayi.,High,9.425063920232645,89
crushed and sab kharab ho raha hai.,High,11.340347683213333,82
extreme pressure. So tired.,High,11.196316913098421,90
depressed. Need help.,High,8.98207084491903,87
burned out. So tired.,High,8.878357862115205,98
crushed. Need help.,High,8.68942283047501,82
failing exams and preshani bohot barh gayi.,High,9.715056541950325,86
bohot mayoos hoon. Bohat mushkil hai.,High,10.301676024233238,100
crushed. Need help.,High,11.798730037999576,88
crushed. So tired.,High,10.975615760929898,91
future andhera hai. Bohat mushkil hai.,High,10.503038383663917,97
bohot mayoos hoon. Allah help me.,High,10.719707893892815,90
depressed. So tired.,High,11.663825334297163,88
tension bohot hai. Allah help me.,High,8.476975413775556,89
dil nahi lag raha. Koi rasta nahi.,High,8.076218777132203,89
tension bohot hai. Allah help me.,High,11.527679313208413,89
bohot mayoos hoon. Koi rasta nahi.,High,9.834832953875114,89
bohot bhojh hai. Allah help me.,High,10.5506924675695,85
too heavy. Need help.,High,11.66920494186369,82
bohot bhojh hai. Allah help me.,High,11.909642167228299,85
hopeless. So tired.,High,10.10273685754297,91
hopeless. So tired.,High,11.442961795588186,90
sab kharab ho raha hai. Bohat mushkil hai.,High,8.092233488000883,94
crushed. Feeling worthless.,High,9.744750721972807,91
crushed and bohot mayoos hoon.,High,10.553827737830037,99
future andhera hai. Koi rasta nahi.,High,11.702307706862438,87
exhausted and dil nahi lag raha.,High,11.308043264453458,90
hopeless. Feeling worthless.,High,10.555696342033942,96
bardasht nahi ho raha. Koi rasta nahi.,High,8.50678451674084,84
tension bohot hai. Bohat mushkil hai.,High,11.432414986441037,94
too heavy. So tired.,High,10.548841995954554,87
thak gaya hoon. Allah help me.,High,11.09877032712834,80
too heavy and sab kharab ho raha hai.,High,8.5100379988295,88
sab kharab ho raha hai. Bohat mushkil hai.,High,9.17138389824429,83
mental fatigue and dil nahi lag raha.,High,11.32813067781417,91
sab kharab ho raha hai. Koi rasta nahi.,High,10.423738187448775,84
crushed and dil nahi lag raha.,High,10.496210651769541,95
hopeless. Need help.,High,10.058873678813189,83
extreme pressure and tension bohot hai.,High,9.296239600549322,100
crushed. So tired.,High,8.86118138626945,96
hopeless. Feeling worthless.,High,8.666898568310202,81
depressed and future andhera hai.,High,8.5234062577348,88
bardasht nahi ho raha. Allah help me.,High,9.78815818725018,91
hopeless. Need help.,High,10.908443565263223,93
crushed and bardasht nahi ho raha.,High,10.625784311795005,90
sab kharab ho raha hai. Allah help me.,High,11.894784527743493,83
exhausted and dil nahi lag raha.,High,8.91727154710101,85
depressed. So tired.,High,10.919059484529004,80
burned out. Need help.,High,8.579384965905819,90
future andhera hai. Koi rasta nahi.,High,8.945339071861074,95
hopeless. Need help.,High,11.598545727101655,92
mental fatigue. Need help.,High,8.479792621969892,82
bohot bhojh hai. Bohat mushkil hai.,High,8.22609746786037,85
depressed. So tired.,High,11.435012979682798,91
failing exams and bohot bhojh hai.,High,8.771446898809097,84
preshani bohot barh gayi. Allah help me.,High,10.482265661011432,80
bohot mayoos hoon. Koi rasta nahi.,High,10.842932120930795,93
sab kharab ho raha hai. Bohat mushkil hai.,High,8.22871905074437,96
depressed. So tired.,High,9.418737865082324,91
too heavy. Feeling worthless.,High,8.413015883285627,97
dil nahi lag raha. Koi rasta nahi.,High,11.402491125553627,96
bardasht nahi ho raha. Allah help me.,High,11.191626069375022,87
too heavy. Need help.,High,11.900505490647902,80
mental fatigue. Feeling worthless.,High,10.367081532933376,92
mental fatigue and sab kharab ho raha hai.,High,8.30510115996019,93
burned out. Feeling worthless.,High,8.376317624910076,85
bohot bhojh hai. Koi rasta nahi.,High,8.424914643597191,91
exhausted and bohot mayoos hoon.,High,8.339514582497543,89
burned out and dil nahi lag raha.,High,10.879667139185706,83
preshani bohot barh gayi. Allah help me.,High,11.262908289202024,88
bohot bhojh hai. Bohat mushkil hai.,High,9.700013643831893,84
bardasht nahi ho raha. Koi rasta nahi.,High,8.103690326386271,93
hopeless and bohot mayoos hoon.,High,11.87067580631759,80
hopeless and thak gaya hoon.,High,10.606137394015775,97
exhausted. Need help.,High,10.974246665504259,100
crushed. Feeling worthless.,High,8.498684011825162,80
crushed. Need help.,High,10.70762607620643,96
burned out and sab kharab ho raha hai.,High,9.917166272367599,84
